timestamp;y;y_pred;mae;mape;new_mae;new_smape;moy_5m;std_5m;n_trades_sum_5m;delta_5m;moy_20m;std_20m;n_trades_sum_20m;delta_20m;moy_60m;std_60m;n_trades_sum_60m;delta_60m
1673373420000.0;1331.61;0.0;1331.61;0.0;1331.61;200.0;1331.785;0.09539392014169124;968.0;0.009999999999990905;1331.7815789473684;0.21649385821143544;4336.0;-0.2400000000000091;1330.8818644067796;0.8284249171569159;14387.0;-1.0
1673373480000.0;1331.7;0.0;1331.7;0.0;1331.7;200.0;1331.7450000000001;0.09814954576225908;871.0;0.290000000000191;1331.7926315789473;0.2047448847621243;4275.0;0.540000000000191;1330.8910169491523;0.8342882469615099;14234.0;-1.3299999999999272
1673373540000.0;1331.83;0.0;1331.83;0.0;1331.83;200.0;1331.725;0.11902380714245088;899.0;0.0;1331.8026315789473;0.18961487591851528;4173.0;0.2699999999999818;1330.9067796610168;0.8390048306095017;14201.0;-2.650000000000091
1673373600000.0;1331.75;0.0;1331.75;0.0;1331.75;200.0;1331.6825000000001;0.05188127472097;840.0;-0.2799999999999727;1331.78;0.17055465073954526;4061.0;-0.3400000000001455;1330.9313559322034;0.8412643555717606;14110.0;-2.759999999999991
1673373660000.0;1331.91;0.0;1331.91;0.0;1331.91;200.0;1331.7375000000002;0.14244882121899;948.0;-0.2400000000000091;1331.777894736842;0.16817910252559837;4228.0;-0.06999999999993634;1330.9799999999998;0.8143243444297971;14205.0;-2.199999999999818
1673373720000.0;1332.36;0.0;1332.36;0.0;1332.36;200.0;1331.7775;0.1433817747600648;1365.0;-1.1900000000000546;1331.7894736842106;0.16423133021612796;4550.0;-1.1400000000001;1331.0247457627117;0.7868999759689888;14504.0;-2.730000000000018
1673373780000.0;1331.72;0.0;1331.72;0.0;1331.72;200.0;1332.1025;0.5457945278827118;1614.0;0.2699999999999818;1331.848947368421;0.3049388779710657;4686.0;0.2899999999999636;1331.0803389830508;0.8023757097900016;14760.0;-1.8400000000001455
1673373840000.0;1332.58;0.0;1332.58;0.0;1332.58;200.0;1332.0925;0.5554202613037285;1585.0;-0.39000000000010004;1331.844210526316;0.30692590110959267;4679.0;-0.8399999999999181;1331.105762711864;0.7971029514042343;14753.0;-2.339999999999918
1673373900000.0;1332.58;0.0;1332.58;0.0;1332.58;200.0;1332.165;0.54775298569097;1447.0;0.3300000000001546;1331.8584210526315;0.3186126725159013;4680.0;-0.6299999999998818;1331.1462711864406;0.7923837852461217;14783.0;-2.6799999999998363
1673373960000.0;1332.77;0.0;1332.77;0.0;1332.77;200.0;1332.3475;0.5244918175402341;1053.0;-0.5799999999999272;1331.9205263157894;0.3367239833092949;4635.0;-0.2699999999999818;1331.191694915254;0.7959339613534271;14601.0;-1.8099999999999454
